J,R,E,M,E_Num,algo,n_subtypes,mallows_temperature,kendalls_w,runtime,kendalls_tau,subtype_acc,stage_mae,mean_stage_healthy,runtime_cross_validation,absolute_error_n_subtypes,relative_error,correct_bool
726,0.21,sn_kjContinuousBeta_sigmoid,0,1,BebmS,3,0.34068042436305934,0.9794246091275794,157.10169953902562,0.4144107744107744,0.00038021955640798907,6.046831955922865,0.0,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,0,1,BebmS (Blind),3,0.34068042436305934,0.9794246091275794,203.78426579236984,0.3892255892255892,0.0,6.169421487603306,0.09333333333333334,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,0,1,Random Guessing,3,0.34068042436305934,0.9794246091275794,0.0,0.5443824528527403,-0.00012338829280113313,52.862258953168045,6.153333333333333,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,0,1,SuStaIn (GMM),3,0.34068042436305934,0.9794246091275794,960.1595443328222,0.39575757575757575,0.049590005356212497,16.487603305785125,44.02,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,0,1,SuStaIn (KDE),3,0.34068042436305934,0.9794246091275794,685.4063300291697,0.33946127946127946,-0.0013307308705486408,13.769972451790634,19.653333333333332,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,1,BebmS,3,0.46841910920007357,0.9920872087208721,188.98745876948038,0.3839057239057239,0.0011332165225397524,12.933793103448275,0.03289473684210526,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,1,BebmS (Blind),3,0.46841910920007357,0.9920872087208721,247.62281232277553,0.41838383838383836,0.0,11.155862068965517,0.09210526315789473,,1.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,1,Random Guessing,3,0.46841910920007357,0.9920872087208721,0.0,0.4977854153011502,0.001368267578620209,52.499310344827585,5.7894736842105265,,1.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,1,SuStaIn (GMM),3,0.46841910920007357,0.9920872087208721,644.4825546304385,0.44417508417508417,0.0034530094406171868,16.971034482758622,46.48026315789474,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,1,SuStaIn (KDE),3,0.46841910920007357,0.9920872087208721,873.9330207705498,0.33016835016835017,-0.00041191193536919355,12.875862068965517,19.45394736842105,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,2,1,BebmS,3,0.1753790452932112,0.937932459912658,126.14282729228337,0.3993939393939394,0.0,8.865013774104684,0.0,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,2,1,BebmS (Blind),3,0.1753790452932112,0.937932459912658,161.10673254728317,0.40478114478114485,0.0,8.030303030303031,0.12,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,2,1,Random Guessing,3,0.1753790452932112,0.937932459912658,0.0,0.5559278161393623,0.0010918236847620646,52.011019283746556,5.886666666666667,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,2,1,SuStaIn (GMM),3,0.1753790452932112,0.937932459912658,357.69542577664055,0.3904377104377104,0.07562490511808545,16.13085399449036,45.27333333333333,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,2,1,SuStaIn (KDE),3,0.1753790452932112,0.937932459912658,283.90081698497136,0.35515151515151516,-0.0018174240752309348,12.46694214876033,19.246666666666666,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,3,1,BebmS,3,0.17504815774552362,0.9284941827516084,95.52868280808131,0.3757575757575758,0.0,8.664827586206897,0.0,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,3,1,BebmS (Blind),3,0.17504815774552362,0.9284941827516084,125.91811960935593,0.45777777777777784,0.01884945078260295,15.742068965517241,0.06622516556291391,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,3,1,Random Guessing,3,0.17504815774552362,0.9284941827516084,0.0,0.5576480493790675,0.0022245118556483237,52.79586206896552,6.026490066225166,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,3,1,SuStaIn (GMM),3,0.17504815774552362,0.9284941827516084,246.99494351148604,0.428013468013468,0.053593864614653014,18.10206896551724,46.57615894039735,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,3,1,SuStaIn (KDE),3,0.17504815774552362,0.9284941827516084,230.5315544605255,0.31468013468013467,0.0015522974414260947,13.077241379310346,17.582781456953644,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,4,1,BebmS,3,0.3305912032327811,0.9801526819348602,73.6588709394137,0.41164983164983165,0.0,8.256551724137932,0.0,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,4,1,BebmS (Blind),3,0.3305912032327811,0.9801526819348602,92.09280771414439,0.44303030303030305,0.0,10.627586206896552,0.046052631578947366,,3.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,4,1,Random Guessing,3,0.3305912032327811,0.9801526819348602,0.0,0.43719017161005613,0.0006003538205650239,52.27034482758621,6.3355263157894735,,3.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,4,1,SuStaIn (GMM),3,0.3305912032327811,0.9801526819348602,489.4365440408389,0.4117171717171717,0.005021259396465616,15.013793103448275,43.125,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,4,1,SuStaIn (KDE),3,0.3305912032327811,0.9801526819348602,476.88261698881786,0.3645117845117845,-0.0010285806941656521,15.36,27.907894736842106,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,5,1,BebmS,3,0.2829212386514343,0.9755548888222155,74.47662351528804,0.4210774410774411,0.0,9.60551724137931,0.0,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,5,1,BebmS (Blind),3,0.2829212386514343,0.9755548888222155,90.18257865508397,0.4086868686868687,0.03273164692175991,13.642758620689655,0.006622516556291391,,3.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,5,1,Random Guessing,3,0.2829212386514343,0.9755548888222155,0.0,0.5276957304008013,-0.002239056082438354,52.29379310344827,5.403973509933775,,3.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,5,1,SuStaIn (GMM),3,0.2829212386514343,0.9755548888222155,432.05065706570946,0.425993265993266,0.1898906396367568,20.035862068965518,49.10596026490066,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,5,1,SuStaIn (KDE),3,0.2829212386514343,0.9755548888222155,504.57161818742753,0.3257239057239057,0.00028424453802135876,13.38896551724138,21.05960264900662,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,6,1,BebmS,3,0.23773145317594058,0.9734480114678135,77.36181238094966,0.4278787878787878,0.0025438380858557996,16.00414364640884,0.06622516556291391,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,6,1,BebmS (Blind),3,0.23773145317594058,0.9734480114678135,93.42338806390762,0.4447138047138048,0.0,13.922651933701658,1.6688741721854305,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,6,1,Random Guessing,3,0.23773145317594058,0.9734480114678135,0.0,0.47571144862510756,0.0008332180655194715,52.494475138121544,6.589403973509934,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,6,1,SuStaIn (GMM),3,0.23773145317594058,0.9734480114678135,414.353306277593,0.4012121212121212,0.08801082708730303,18.70718232044199,48.11920529801324,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,6,1,SuStaIn (KDE),3,0.23773145317594058,0.9734480114678135,442.07967771689096,0.3274747474747475,0.0005406943469144286,13.422651933701658,20.70198675496689,,,100,100
