J,R,E,M,E_Num,algo,n_subtypes,mallows_temperature,kendalls_w,runtime,kendalls_tau,subtype_acc,stage_mae,mean_stage_healthy,runtime_cross_validation,absolute_error_n_subtypes,relative_error,correct_bool
726,0.21,sn_kjContinuousBeta_sigmoid,0,5,BebmS,3,0.43011930327855047,0.9853051971863853,72.66542312701543,0.4117845117845118,0.0,12.937931034482759,0.07947019867549669,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,0,5,BebmS (Blind),3,0.43011930327855047,0.9853051971863853,87.53891233205795,0.43670033670033676,0.0,13.252413793103448,0.39072847682119205,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,0,5,Random Guessing,3,0.43011930327855047,0.9853051971863853,0.0,0.4946514942299592,0.0005373382049233766,53.0151724137931,6.1655629139072845,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,0,5,SuStaIn (GMM),3,0.43011930327855047,0.9853051971863853,170.3117018699646,0.47387205387205383,0.007256590838974509,20.446896551724137,50.6953642384106,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,0,5,SuStaIn (KDE),3,0.43011930327855047,0.9853051971863853,227.5914624532064,0.2817508417508418,0.005889473740655675,11.935172413793103,18.251655629139073,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,5,BebmS,3,0.48441897318259025,0.9917485081841517,69.746557700634,0.3708417508417508,0.0,5.8,0.013245033112582781,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,5,BebmS (Blind),3,0.48441897318259025,0.9917485081841517,84.29480560223261,0.44855218855218854,0.0,10.070344827586206,1.0198675496688743,,1.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,5,Random Guessing,3,0.48441897318259025,0.9917485081841517,0.0,0.4999344939565297,-0.0005691246697498489,52.31172413793104,5.9801324503311255,,1.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,5,SuStaIn (GMM),3,0.48441897318259025,0.9917485081841517,208.5242752790451,0.4474747474747474,-0.0030228824936458713,17.361379310344827,43.033112582781456,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,5,SuStaIn (KDE),3,0.48441897318259025,0.9917485081841517,228.2314888636271,0.3422222222222222,-0.002779791524340415,14.293793103448277,22.443708609271525,,,100,100
